day,tool_a,tool_b,class,n,c_1to1,c_split,c_merge,c_unmatched
monday-pub,yaf,argus,ALL,6845,3894,0,1768,1183
monday-pub,yaf,argus,BENIGN,6845,3894,0,1768,1183
monday-pub,yaf,go-flows,ALL,6845,5583,686,129,447
monday-pub,yaf,go-flows,BENIGN,6845,5583,686,129,447
monday-pub,yaf,joy,ALL,6845,2032,589,748,3476
monday-pub,yaf,joy,BENIGN,6845,2032,589,748,3476
monday-pub,joy,nfstream,ALL,11061,2181,29,5262,3589
monday-pub,joy,nfstream,BENIGN,11061,2181,29,5262,3589
monday-pub,joy,zeek,ALL,11061,5746,23,5242,50
monday-pub,joy,zeek,BENIGN,11061,5746,23,5242,50
monday-pub,joy,tranalyzer,ALL,11061,1822,5,5462,3772
monday-pub,joy,tranalyzer,BENIGN,11061,1822,5,5462,3772
monday-pub,joy,cicflowmeter-orig,ALL,11061,394,1020,4016,5631
monday-pub,joy,cicflowmeter-orig,BENIGN,11061,394,1020,4016,5631
monday-pub,joy,cicflowmeter-fixed,ALL,11061,5330,691,4538,502
monday-pub,joy,cicflowmeter-fixed,BENIGN,11061,5330,691,4538,502
monday-pub,joy,argus,ALL,11061,4905,0,5314,842
monday-pub,joy,argus,BENIGN,11061,4905,0,5314,842
monday-pub,joy,go-flows,ALL,11061,2073,447,4950,3591
monday-pub,joy,go-flows,BENIGN,11061,2073,447,4950,3591
monday-pub,joy,yaf,ALL,11061,2032,448,4887,3694
monday-pub,joy,yaf,BENIGN,11061,2032,448,4887,3694
monday-pvt,nfstream,zeek,ALL,2060,722,38,57,1243
monday-pvt,nfstream,zeek,BENIGN,2060,722,38,57,1243
monday-pvt,nfstream,tranalyzer,ALL,2060,704,5,170,1181
monday-pvt,nfstream,tranalyzer,BENIGN,2060,704,5,170,1181
monday-pvt,nfstream,cicflowmeter-orig,ALL,2060,75,540,0,1445
monday-pvt,nfstream,cicflowmeter-orig,BENIGN,2060,75,540,0,1445
monday-pvt,nfstream,cicflowmeter-fixed,ALL,2060,708,58,0,1294
monday-pvt,nfstream,cicflowmeter-fixed,BENIGN,2060,708,58,0,1294
monday-pvt,nfstream,argus,ALL,2060,698,0,231,1131
monday-pvt,nfstream,argus,BENIGN,2060,698,0,231,1131
monday-pvt,nfstream,go-flows,ALL,2060,2002,51,0,7
monday-pvt,nfstream,go-flows,BENIGN,2060,2002,51,0,7
monday-pvt,nfstream,yaf,ALL,2060,1569,44,10,437
monday-pvt,nfstream,yaf,BENIGN,2060,1569,44,10,437
monday-pvt,nfstream,joy,ALL,2060,610,147,0,1303
monday-pvt,nfstream,joy,BENIGN,2060,610,147,0,1303
monday-pvt,zeek,nfstream,ALL,2150,722,7,112,1309
monday-pvt,zeek,nfstream,BENIGN,2150,722,7,112,1309
monday-pvt,zeek,tranalyzer,ALL,2150,1885,6,250,9
monday-pvt,zeek,tranalyzer,BENIGN,2150,1885,6,250,9
monday-pvt,zeek,cicflowmeter-orig,ALL,2150,63,496,18,1573
monday-pvt,zeek,cicflowmeter-orig,BENIGN,2150,63,496,18,1573
monday-pvt,zeek,cicflowmeter-fixed,ALL,2150,1830,14,29,277
monday-pvt,zeek,cicflowmeter-fixed,BENIGN,2150,1830,14,29,277
monday-pvt,zeek,argus,ALL,2150,1786,0,354,10
monday-pvt,zeek,argus,BENIGN,2150,1786,0,354,10
monday-pvt,zeek,go-flows,ALL,2150,706,29,98,1317
monday-pvt,zeek,go-flows,BENIGN,2150,706,29,98,1317
monday-pvt,zeek,yaf,ALL,2150,685,27,21,1417
monday-pvt,zeek,yaf,BENIGN,2150,685,27,21,1417
monday-pvt,zeek,joy,ALL,2150,2014,95,30,11
monday-pvt,zeek,joy,BENIGN,2150,2014,95,30,11
monday-pvt,tranalyzer,nfstream,ALL,1973,704,9,24,1236
monday-pvt,tranalyzer,nfstream,BENIGN,1973,704,9,24,1236
monday-pvt,tranalyzer,zeek,ALL,1973,1885,11,17,60
monday-pvt,tranalyzer,zeek,BENIGN,1973,1885,11,17,60
monday-pvt,tranalyzer,cicflowmeter-orig,ALL,1973,70,491,0,1412
monday-pvt,tranalyzer,cicflowmeter-orig,BENIGN,1973,70,491,0,1412
monday-pvt,tranalyzer,cicflowmeter-fixed,ALL,1973,1691,10,0,272
monday-pvt,tranalyzer,cicflowmeter-fixed,BENIGN,1973,1691,10,0,272
monday-pvt,tranalyzer,argus,ALL,1973,1794,0,118,61
monday-pvt,tranalyzer,argus,BENIGN,1973,1794,0,118,61
monday-pvt,tranalyzer,go-flows,ALL,1973,687,26,0,1260
monday-pvt,tranalyzer,go-flows,BENIGN,1973,687,26,0,1260
monday-pvt,tranalyzer,yaf,ALL,1973,690,22,0,1261
monday-pvt,tranalyzer,yaf,BENIGN,1973,690,22,0,1261
monday-pvt,tranalyzer,joy,ALL,1973,1705,106,19,143
monday-pvt,tranalyzer,joy,BENIGN,1973,1705,106,19,143
